client_id,client_type,first_name,last_name,date_of_birth,gender,country,region,acquisition_purpose,satisfaction_score,loan_applied,referral_channel,predicted_cluster_id,predicted_cluster_name
C0001,Individual,Trystan,Oconnor,1975-01-01,Male,USA,Nevada,Personal Use,3.7,No,Agency,C1,Global Investor
C0002,Individual,Kale,Gay,1975-01-01,Female,USA,Arizona,Personal Use,4.4,Yes,Client,C2,First-Time Buyer
C0003,Individual,Russell,Gross,1975-01-01,Male,USA,Colorado,Investment,3,No,Direct,C1,Global Investor
C0004,Individual,Marleez,Co,1975-01-01,Female,USA,Oregon,Personal Use,3.7,Yes,Corporate,C2,First-Time Buyer
C0005,Individual,Yurem,Wright,1975-01-01,Male,USA,Washington,Personal Use,4.4,No,Website,C4,Luxury Investor
C0006,Individual,Xavier,Faulkner,1975-01-01,Female,USA,Texas,Investment,3,Yes,Agency,C2,First-Time Buyer
C0007,Individual,Kayden,Olsen,1975-01-01,Male,USA,Virginia,Personal Use,3.7,No,Client,C1,Global Investor
C0008,Individual,Joaquin,Mullins,1975-01-01,Female,UK,Georgia,Investment,4.4,Yes,Direct,C1,Global Investor
C0009,Individual,Nicolas,Navarro,1975-01-01,Male,Canada,New York,Investment,3,No,Corporate,C1,Global Investor
C0010,Individual,Laci,Guerra,1975-01-01,Female,Germany,Florida,Investment,3.7,Yes,Website,C1,Global Investor
C0011,Individual,Kylax,Lucero,1975-01-01,Male,France,Utah,Investment,4.4,No,Agency,C1,Global Investor
C0012,Individual,Harley,Hickman,1975-01-01,Female,Belgium,Ohio,Investment,3,Yes,Client,C1,Global Investor
C0013,Individual,Esther,Oconnell,1975-01-01,Male,Mexico,London,Investment,3.7,No,Direct,C1,Global Investor
C0014,Individual,Jaylynn,Porter,1975-01-01,Female,Russia,Berlin,Investment,4.4,Yes,Corporate,C1,Global Investor
C0015,Individual,Olivia,Lynn,1975-01-01,Male,Denmark,Paris,Investment,3,No,Website,C1,Global Investor
C0016,Individual,Antonio,Curry,1975-01-01,Female,Australia,Ontario,Investment,3.7,Yes,Agency,C1,Global Investor
C0017,Individual,Luke,Sharp,1975-01-01,Male,USA,Quebec,Personal Use,4.4,No,Client,C4,Luxury Investor
C0018,Individual,Anahi,Obrien,1975-01-01,Female,USA,Brussels,Investment,3,Yes,Direct,C2,First-Time Buyer
C0019,Individual,Camille,Nelson,1975-01-01,Male,USA,Dubai,Personal Use,3.7,No,Corporate,C1,Global Investor
C0020,Individual,Jesus,Taylor,1975-01-01,Female,USA,California,Personal Use,4.4,Yes,Website,C2,First-Time Buyer
C0021,Individual,Araceli,Terrell,1975-01-01,Male,USA,Nevada,Investment,3,No,Agency,C1,Global Investor
C0022,Individual,Cole,Gibson,1975-01-01,Female,USA,Arizona,Personal Use,3.7,Yes,Client,C2,First-Time Buyer
C0023,Individual,Alonso,Reeves,1975-01-01,Male,USA,Colorado,Personal Use,4.4,No,Direct,C4,Luxury Investor
C0024,Individual,Rodolfo,Weber,1975-01-01,Female,USA,Oregon,Investment,3,Yes,Corporate,C2,First-Time Buyer
C0025,Individual,Joseph,Phelps,1975-01-01,Male,UK,Washington,Investment,3.7,No,Website,C1,Global Investor
C0026,Individual,Grant,Walker,1975-01-01,Female,Canada,Texas,Investment,4.4,Yes,Agency,C1,Global Investor
C0027,Individual,Ava,Hess,1975-01-01,Male,Germany,Virginia,Investment,3,No,Client,C1,Global Investor
C0028,Individual,Kyla,Buchanan,1975-01-01,Female,France,Georgia,Investment,3.7,Yes,Direct,C1,Global Investor
C0029,Individual,Alanna,Robinson,1975-01-01,Male,Belgium,New York,Investment,4.4,No,Corporate,C1,Global Investor
C0030,Individual,Skylar,Tate,1975-01-01,Female,Mexico,Florida,Investment,3,Yes,Website,C1,Global Investor
C0031,Individual,Rodrigo,Patrick,1975-01-01,Male,Russia,Utah,Investment,3.7,No,Agency,C1,Global Investor
C0032,Individual,Lydia,Mendez,1975-01-01,Female,Denmark,Ohio,Investment,4.4,Yes,Client,C1,Global Investor
C0033,Individual,Lauryn,Jensen,1975-01-01,Male,Australia,London,Investment,3,No,Direct,C1,Global Investor
C0034,Individual,Diego,Hendricks,1975-01-01,Female,USA,Berlin,Personal Use,3.7,Yes,Corporate,C2,First-Time Buyer
C0035,Individual,Victor,Espinoza,1975-01-01,Male,USA,Paris,Personal Use,4.4,No,Website,C4,Luxury Investor
C0036,Individual,Scarlet,Karenina,1975-01-01,Female,USA,Ontario,Investment,3,Yes,Agency,C2,First-Time Buyer
C0037,Individual,Janelle,Huff,1975-01-01,Male,USA,Quebec,Personal Use,3.7,No,Client,C1,Global Investor
C0038,Corporate,Kylax,Co,1975-01-01,Other,USA,Brussels,Investment,4.4,No,Direct,C3,Corporate Buyer
C0039,Individual,Conner,Chandler,1975-01-01,Male,USA,Dubai,Investment,3,No,Corporate,C1,Global Investor
C0040,Individual,Zain,Park,1975-01-01,Female,USA,California,Personal Use,3.7,Yes,Website,C2,First-Time Buyer
C0041,Individual,Maia,Hunt,1975-01-01,Male,USA,Nevada,Personal Use,4.4,No,Agency,C4,Luxury Investor
C0042,Individual,Jordyn,Mata,1975-01-01,Female,UK,Arizona,Investment,3,Yes,Client,C1,Global Investor
C0043,Individual,Diana,Mckee,1975-01-01,Male,Canada,Colorado,Investment,3.7,No,Direct,C1,Global Investor
C0044,Individual,Kevin,Gilbert,1975-01-01,Female,Germany,Oregon,Investment,4.4,Yes,Corporate,C1,Global Investor
C0045,Individual,Brisa,Li,1975-01-01,Male,France,Washington,Investment,3,No,Website,C1,Global Investor
C0046,Individual,Mason,Riggs,1975-01-01,Female,Belgium,Texas,Investment,3.7,Yes,Agency,C1,Global Investor
C0047,Individual,Derick,Johns,1975-01-01,Male,Mexico,Virginia,Investment,4.4,No,Client,C1,Global Investor
